"type","choice","old","new","question","required","relevant","constraint","calculation","Continua","Discreta","Binaria","Categorica","Promedio","Suma","Maximo","Minimo","Porcentaje","IfAny","Count","Moda","area_total","area_coffee","area_productive","area_all","weight_produced","weight_sold","distance_between","distance_within","price_min","price_max","baseline","endline","bl_loop","el_loop","force_join","bar_plot_avg","bar_plot_cnt","line_plot_y","line_plot_x","donut_plot","choropleth_plot","grouping_var","type_column","logarithm"
"dummies","interventions",NA,"aspectsExperimentedWith/13_tec","Que aspectos de ${TIX} ensayo?/Emplea metodos para el control de plagas",NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dummies","interventions",NA,"aspectsExperimentedWith/14","Que aspectos de ${TIX} ensayo?/Emplea metodos para el control de enfermedades",NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"tech_repeat","tech_repeat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dummies","interventions",NA,"aspectsExperimentedWith/14_tec","Que aspectos de ${TIX} ensayo?/Emplea metodos para el control de enfermedades",NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dummies","interventions",NA,"aspectsExperimentedWith/15","Que aspectos de ${TIX} ensayo?/Utiliza productos autorizados por SENASA",NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"tech_repeat","tech_repeat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dummies","interventions",NA,"aspectsExperimentedWith/15_tec","Que aspectos de ${TIX} ensayo?/Utiliza productos autorizados por SENASA",NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dummies","interventions",NA,"aspectsExperimentedWith/16","Que aspectos de ${TIX} ensayo?/Ninguno de estos",NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"tech_repeat","tech_repeat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dummies","interventions",NA,"aspectsExperimentedWith/16_tec","Que aspectos de ${TIX} ensayo?/Ninguno de estos",NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dummies","interventions",NA,"aspectsExperimentedWith/17","Que aspectos de ${TIX} ensayo?/Seleccion de semillas",NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"tech_repeat","tech_repeat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dummies","interventions",NA,"aspectsExperimentedWith/17_tec","Que aspectos de ${TIX} ensayo?/Seleccion de semillas",NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dummies","interventions",NA,"aspectsExperimentedWith/18","Que aspectos de ${TIX} ensayo?/Desinfeccion del sustrato",NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"tech_repeat","tech_repeat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dummies","interventions",NA,"aspectsExperimentedWith/18_tec","Que aspectos de ${TIX} ensayo?/Desinfeccion del sustrato",NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dummies","interventions",NA,"aspectsExperimentedWith/19","Que aspectos de ${TIX} ensayo?/Aclareo de plantas",NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"tech_repeat","tech_repeat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
